               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.052807,            0.071635,            0.029871,             0.65218,             0.36833,             0.52561,             0.36969,            0.047517,            0.052213,            0.022262,            0.008812,            0.008812,            0.008812
                  38,            0.052702,            0.071757,            0.029757,             0.64844,             0.37548,             0.52834,             0.37193,            0.047396,            0.052069,             0.02208,            0.008779,            0.008779,            0.008779
                  39,            0.052674,            0.071545,            0.029827,             0.64789,             0.37987,             0.53102,             0.37448,            0.047278,            0.051945,            0.021906,            0.008746,            0.008746,            0.008746
                  40,            0.052627,            0.071645,             0.02956,             0.64434,             0.38488,             0.53235,             0.37494,            0.047162,            0.051821,            0.021752,            0.008713,            0.008713,            0.008713
                  41,            0.052524,            0.071647,            0.029434,             0.63934,             0.39017,             0.53236,             0.37539,            0.047061,            0.051714,            0.021614,             0.00868,             0.00868,             0.00868
                  42,            0.052437,            0.071234,            0.029442,             0.63319,             0.39464,             0.53214,             0.37501,            0.046977,            0.051612,            0.021484,            0.008647,            0.008647,            0.008647
                  43,            0.052361,            0.071289,            0.029328,             0.63758,             0.39878,             0.53689,             0.37702,            0.046885,            0.051513,            0.021352,            0.008614,            0.008614,            0.008614
                  44,            0.052277,            0.071119,             0.02919,             0.63537,             0.40235,             0.53783,             0.37861,            0.046809,            0.051419,            0.021251,            0.008581,            0.008581,            0.008581
                  45,             0.05227,            0.071198,            0.029113,             0.64054,             0.40583,              0.5425,             0.38119,            0.046734,            0.051329,             0.02116,            0.008548,            0.008548,            0.008548
                  46,            0.052216,            0.071134,            0.029072,             0.63604,             0.40865,             0.54244,               0.381,            0.046666,            0.051253,            0.021052,            0.008515,            0.008515,            0.008515
                  47,            0.052144,            0.071038,            0.029111,             0.63592,             0.41112,             0.54261,              0.3822,            0.046606,            0.051179,            0.020959,            0.008482,            0.008482,            0.008482
                  48,             0.05214,            0.070888,            0.028947,             0.63407,             0.41295,             0.54326,             0.38208,            0.046541,            0.051115,            0.020866,            0.008449,            0.008449,            0.008449
                  49,            0.052084,            0.070978,            0.028782,             0.63333,             0.41714,             0.54593,             0.38416,            0.046487,            0.051053,            0.020792,            0.008416,            0.008416,            0.008416
                  50,            0.052031,             0.07098,            0.028769,             0.63088,             0.41938,             0.54642,             0.38473,            0.046433,            0.050998,             0.02071,            0.008383,            0.008383,            0.008383
                  51,            0.051938,            0.070917,            0.028784,             0.63289,             0.42282,             0.54894,             0.38765,            0.046377,            0.050944,            0.020643,             0.00835,             0.00835,             0.00835
                  52,            0.051914,            0.070811,            0.028647,              0.6332,             0.42563,             0.55056,             0.38823,            0.046324,            0.050889,            0.020575,            0.008317,            0.008317,            0.008317
                  53,            0.051912,            0.070724,            0.028612,             0.63106,              0.4282,             0.55099,               0.389,            0.046269,            0.050845,            0.020508,            0.008284,            0.008284,            0.008284
                  54,            0.051801,            0.070724,            0.028462,             0.63162,             0.43159,             0.55288,             0.39038,            0.046217,            0.050792,            0.020448,            0.008251,            0.008251,            0.008251
                  55,            0.051832,            0.070948,            0.028433,             0.62805,             0.43223,             0.55218,             0.39011,            0.046171,            0.050752,            0.020373,            0.008218,            0.008218,            0.008218
                  56,            0.051755,            0.070749,            0.028376,             0.62748,             0.43431,             0.55328,             0.39163,            0.046124,            0.050705,            0.020305,            0.008185,            0.008185,            0.008185
                  57,            0.051719,            0.070699,            0.028434,              0.6234,             0.43435,             0.55195,             0.39128,            0.046076,            0.050667,            0.020256,            0.008152,            0.008152,            0.008152
                  58,            0.051667,            0.070722,             0.02826,             0.62405,             0.43592,             0.55301,             0.39219,            0.046026,            0.050635,            0.020193,            0.008119,            0.008119,            0.008119
                  59,            0.051561,            0.070295,            0.028243,             0.62327,             0.43843,             0.55364,             0.39238,            0.045988,            0.050597,            0.020121,            0.008086,            0.008086,            0.008086
                  60,            0.051623,            0.070807,            0.028143,             0.62181,             0.43923,             0.55433,             0.39314,            0.045956,            0.050565,            0.020068,            0.008053,            0.008053,            0.008053
                  61,            0.051563,            0.070546,            0.028074,             0.62887,             0.44071,             0.55574,             0.39392,             0.04592,            0.050539,            0.020008,             0.00802,             0.00802,             0.00802
                  62,            0.051484,            0.070463,            0.028093,             0.62379,             0.44282,             0.55681,             0.39497,            0.045884,            0.050517,            0.019939,            0.007987,            0.007987,            0.007987
                  63,             0.05151,            0.070663,            0.027898,             0.62229,              0.4458,             0.55808,             0.39531,            0.045841,            0.050476,            0.019877,            0.007954,            0.007954,            0.007954
                  64,            0.051403,            0.070534,             0.02784,             0.61911,             0.44678,             0.55761,              0.3954,              0.0458,            0.050448,            0.019828,            0.007921,            0.007921,            0.007921
                  65,            0.051408,            0.070455,            0.027863,             0.62181,             0.44892,             0.56004,             0.39728,            0.045765,            0.050415,            0.019779,            0.007888,            0.007888,            0.007888
                  66,            0.051404,            0.070531,            0.027775,             0.62108,              0.4504,             0.56058,              0.3972,            0.045738,             0.05038,            0.019744,            0.007855,            0.007855,            0.007855
                  67,            0.051349,            0.070519,            0.027766,             0.61843,              0.4515,             0.56021,             0.39715,            0.045704,            0.050348,            0.019697,            0.007822,            0.007822,            0.007822
                  68,            0.051261,            0.070399,            0.027737,             0.61715,             0.45143,             0.55943,             0.39638,            0.045662,             0.05031,            0.019646,            0.007789,            0.007789,            0.007789
                  69,            0.051222,            0.070187,            0.027682,             0.61673,             0.45287,             0.55996,             0.39677,            0.045624,            0.050282,            0.019576,            0.007756,            0.007756,            0.007756
                  70,            0.051197,            0.070283,             0.02759,             0.61816,             0.45576,             0.56227,              0.3983,            0.045592,            0.050265,             0.01953,            0.007723,            0.007723,            0.007723
                  71,            0.051176,            0.070151,            0.027486,             0.61601,             0.45566,             0.56132,             0.39793,            0.045557,            0.050246,            0.019492,             0.00769,             0.00769,             0.00769
                  72,            0.051148,            0.070157,            0.027515,             0.61582,             0.45731,             0.56203,              0.3982,            0.045522,            0.050238,            0.019451,            0.007657,            0.007657,            0.007657
                  73,            0.051076,            0.070283,            0.027412,             0.61643,             0.45914,             0.56345,             0.39877,            0.045484,            0.050221,            0.019412,            0.007624,            0.007624,            0.007624
                  74,            0.051026,            0.069858,            0.027439,             0.61601,             0.46098,             0.56423,             0.39914,            0.045458,            0.050205,            0.019382,            0.007591,            0.007591,            0.007591
                  75,            0.051026,            0.069888,            0.027364,             0.61626,             0.46267,             0.56521,             0.39987,            0.045424,            0.050194,            0.019357,            0.007558,            0.007558,            0.007558
                  76,            0.050968,            0.069915,            0.027325,             0.61512,             0.46263,             0.56512,             0.40049,            0.045402,            0.050186,            0.019333,            0.007525,            0.007525,            0.007525
                  77,             0.05099,             0.07004,            0.027259,             0.61682,             0.46038,             0.56369,             0.40061,            0.045375,            0.050156,            0.019302,            0.007492,            0.007492,            0.007492
                  78,            0.050933,            0.070006,            0.027306,             0.61534,             0.46077,             0.56379,              0.4004,            0.045354,             0.05014,            0.019286,            0.007459,            0.007459,            0.007459
                  79,            0.050877,            0.070113,            0.027083,             0.61189,             0.46559,              0.5657,             0.40155,            0.045331,            0.050125,            0.019247,            0.007426,            0.007426,            0.007426
                  80,            0.050873,            0.069751,            0.027135,             0.61115,             0.46567,             0.56565,             0.40167,            0.045299,            0.050112,            0.019206,            0.007393,            0.007393,            0.007393
                  81,            0.050875,            0.070155,            0.027092,             0.61166,             0.46624,             0.56596,             0.40203,             0.04527,            0.050094,            0.019165,             0.00736,             0.00736,             0.00736
                  82,            0.050867,            0.069857,            0.027031,             0.61778,             0.46465,             0.56612,             0.40241,            0.045248,            0.050078,            0.019137,            0.007327,            0.007327,            0.007327
                  83,            0.050801,            0.069855,            0.027052,             0.61081,             0.46814,              0.5659,             0.40213,             0.04522,            0.050069,            0.019105,            0.007294,            0.007294,            0.007294
                  84,            0.050759,            0.069677,            0.026982,             0.61307,             0.46921,              0.5679,             0.40354,            0.045193,            0.050051,            0.019053,            0.007261,            0.007261,            0.007261
                  85,            0.050718,             0.06971,            0.026902,               0.615,             0.46964,             0.56881,             0.40408,            0.045171,            0.050037,            0.019015,            0.007228,            0.007228,            0.007228
