               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1112,            0.029054,                   0,             0.13237,            0.077419,            0.069832,            0.029208,            0.089296,             0.02181,                   0,             0.00068,             0.00068,             0.09388
                   1,            0.076997,            0.028802,                   0,             0.58842,             0.36129,             0.45535,             0.16961,            0.058687,            0.023302,                   0,           0.0013022,           0.0013022,            0.087602
                   2,            0.063855,            0.023918,                   0,             0.63088,             0.68387,             0.68386,             0.32768,            0.046702,            0.019726,                   0,           0.0018561,           0.0018561,            0.081256
                   3,            0.058165,             0.02043,                   0,             0.53614,             0.76129,             0.66409,             0.25895,            0.056215,              0.0147,                   0,           0.0023416,           0.0023416,            0.074842
                   4,            0.053702,            0.018582,                   0,             0.86205,             0.80634,             0.88764,             0.51252,            0.039689,            0.012552,                   0,           0.0027589,           0.0027589,            0.068359
                   5,            0.050132,             0.01623,                   0,             0.70629,              0.8378,             0.78069,             0.42529,            0.038032,            0.011293,                   0,           0.0031078,           0.0031078,            0.061808
                   6,            0.046582,            0.015212,                   0,             0.96156,             0.83871,             0.93245,             0.60175,             0.03399,            0.010431,                   0,           0.0033885,           0.0033885,            0.055188
                   7,            0.047892,            0.014439,                   0,             0.89999,             0.87097,             0.90172,             0.51699,            0.037163,            0.010266,                   0,           0.0036008,           0.0036008,            0.048501
                   8,             0.04709,            0.014088,                   0,             0.92715,             0.90323,             0.93505,              0.6198,             0.03213,            0.010048,                   0,           0.0037448,           0.0037448,            0.041745
                   9,            0.042486,            0.013316,                   0,             0.93371,             0.90968,             0.94522,             0.62304,            0.031585,           0.0094958,                   0,           0.0038205,           0.0038205,            0.034921
                  10,             0.03972,            0.012932,                   0,             0.95104,             0.87742,             0.93293,             0.57483,            0.034331,           0.0089328,                   0,           0.0038279,           0.0038279,            0.028028
                  11,            0.038291,            0.012622,                   0,             0.95226,             0.90323,             0.94987,             0.63473,            0.028107,           0.0085619,                   0,            0.003767,            0.003767,            0.021067
                  12,             0.04155,             0.01268,                   0,             0.93374,             0.90968,             0.94507,             0.61642,              0.0317,           0.0087929,                   0,           0.0036378,           0.0036378,            0.014038
                  13,             0.03664,            0.012222,                   0,             0.97179,             0.90323,             0.95961,             0.65669,            0.028924,           0.0084449,                   0,           0.0034402,           0.0034402,           0.0069402
                  14,            0.033043,            0.011315,                   0,             0.96621,             0.92258,             0.95604,             0.65469,            0.028562,           0.0082425,                   0,             0.00307,             0.00307,             0.00307
                  15,            0.033877,            0.011844,                   0,             0.97182,             0.89032,             0.94039,             0.63557,            0.028714,           0.0087034,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.029933,            0.011447,                   0,             0.97886,             0.89677,             0.94418,              0.6535,            0.028341,           0.0089016,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.028302,            0.010915,                   0,             0.99301,             0.91604,              0.9584,             0.67659,            0.026745,           0.0082841,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.025881,            0.010592,                   0,             0.99306,             0.92257,             0.95761,             0.68907,            0.025574,           0.0080005,                   0,            0.001585,            0.001585,            0.001585
                  19,             0.02445,            0.010143,                   0,             0.99296,             0.90962,             0.95528,             0.70583,            0.024916,           0.0080474,                   0,             0.00109,             0.00109,             0.00109
